fecha,tiempo,profundo,profundo_por,ligero_min,ligero_por,despierto_min,por_vs_otros,tiempo_vs_por,profundo_vs_por,puntuacion
2022-10-17,06:49:00,01:21:00,20,05:28:00,80,00:00:00,71,8,19,83
2022-10-18,08:28:00,02:00:00,24,06:28:00,76,00:00:00,90,28,50,90
2022-10-19,07:49:00,01:40:00,21,06:09:00,79,00:00:00,83,14,33,87
2022-10-20,07:31:00,02:33:00,34,04:58:00,66,00:00:00,86,15,73,88
2022-10-21,06:46:00,01:48:00,27,04:58:00,73,00:00:00,74,8,37,84
2022-10-22,07:11:00,02:12:00,31,04:59:00,69,00:00:00,83,11,58,87
2022-10-23,07:24:00,01:50:00,25,05:34:00,75,00:00:00,83,11,41,87
2022-10-24,06:18:00,01:59:00,31,04:19:00,69,00:00:00,68,8,45,82
